price,spec_rating,display_size,warranty,resolution_area,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Infinix,brand_Lenovo,brand_MSI,brand_Others,brand_Samsung,name,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,OS
49900,73.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,647,105,19,6,2,5,1,19,12
39900,60.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,38,34,18,6,2,5,1,126,12
26990,69.32352941,14.0,1,2073600,1,0,0,0,0,0,0,0,0,0,440,15,17,6,2,5,1,123,12
59729,66.0,14.0,1,3136000,0,0,0,0,0,0,1,0,0,0,784,39,6,1,8,5,1,111,12
69990,69.32352941,13.3,1,4096000,0,1,0,0,0,0,0,0,0,0,378,160,21,6,2,2,1,91,7
39990,62.0,14.0,1,2073600,1,0,0,0,0,0,0,0,0,0,159,39,6,6,2,5,1,123,12
36790,60.0,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,299,34,18,6,2,5,1,126,12
76990,63.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,411,61,22,1,4,5,1,53,12
48990,64.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,688,42,6,6,2,5,1,121,12
74990,68.0,13.3,1,2073600,0,0,0,0,0,0,0,0,0,1,198,39,6,1,8,5,1,123,12
49990,69.32352941,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,612,45,1,1,2,5,1,112,12
10990,69.32352941,14.1,1,1049088,0,0,0,0,0,0,0,0,1,0,486,171,16,4,2,0,1,115,12
72990,76.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,533,42,6,1,2,5,1,33,12
10990,69.32352941,11.6,1,1049088,0,0,0,0,0,0,0,0,1,0,60,182,20,4,5,6,0,90,0
29990,69.32352941,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,617,126,28,6,8,5,1,80,12
53649,70.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,539,26,19,6,2,5,1,31,12
33990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,0,1,0,0,395,15,17,6,2,5,1,112,12
79990,71.0,15.6,1,2073600,0,0,0,0,0,1,0,0,0,0,809,75,8,3,9,1,1,111,12
68990,65.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,630,40,22,1,2,5,1,33,12
45990,71.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,248,20,28,6,2,5,1,27,12
49900,65.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,706,105,19,6,2,5,1,85,12
104990,69.32352941,13.6,1,4259840,0,1,0,0,0,0,0,0,0,0,379,164,21,6,2,2,1,57,7
54990,72.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,99,40,22,1,2,5,1,31,12
49580,64.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,31,24,28,1,2,5,1,123,12
55990,71.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,708,111,24,1,2,5,1,85,12
43990,63.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,26,104,19,1,2,5,1,79,12
19850,69.32352941,15.6,1,1049088,0,0,0,0,1,0,0,0,0,0,58,83,16,4,2,2,1,70,3
28990,69.32352941,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,156,177,25,6,8,5,1,112,12
54999,71.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,88,39,6,1,2,5,1,31,12
70990,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,312,66,1,1,2,5,1,126,12
56889,60.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,259,119,19,6,2,5,1,33,12
179880,78.0,16.0,1,2304000,1,0,0,0,0,0,0,0,0,0,476,76,14,1,4,1,1,64,12
53790,71.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,646,105,19,1,2,5,1,20,12
37990,60.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,102,104,19,1,2,5,1,69,12
96990,77.0,15.6,1,3686400,1,0,0,0,0,0,0,0,0,0,410,48,2,1,2,1,1,60,12
71990,66.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,458,59,6,1,2,5,1,105,12
59990,75.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,658,26,19,1,2,5,1,27,12
62990,60.0,14.0,1,2304000,0,0,0,0,0,0,1,0,0,0,275,40,22,1,8,1,1,98,12
